Time,Engine RPM,Ground Speed
415,5910,117.4
416,5942,118
417,5959,118.5
418,5982,118.9
419,6021,119.6
420,6047,120.2
421,6051,120.3
422,6048,120.1
423,6022,119.6
424,5991,119
425,5942,118
426,5900,117.2
427,5867,116.4
428,5808,115.3
429,5723,113.6
430,5633,111.8
431,5542,110
432,5447,108.1
433,5344,106.1
434,5253,104.2
435,5153,102.2
436,5060,100.4
437,4985,98.8
438,4689,93.6
439,4440,88.2
440,4403,87.2
441,4420,87.4
442,4478,88.6
443,4594,90.9
444,4723,93.6
445,4872,96.5
446,5033,99.8
447,5208,103.2
448,5390,106.9
449,5562,110.4
450,5547,110.8
451,5423,108.4
452,5348,106.3
453,5333,106
454,5309,105.6
455,5315,105.7
456,5334,106.2
457,5200,104
458,5189,103.2
459,5321,105.6
460,5462,108.7
461,5600,111.2
462,5713,113.6
463,5841,116.1
464,5911,118.2
465,5812,116
466,5897,117.3
467,6010,119.5
468,6059,120.7
469,6080,121.2
470,6091,121.1
471,6142,122.2
472,5992,119.7
473,5912,117.5
474,5814,115.8
475,5733,114.3
476,5675,113
477,5622,111.8
478,5571,110.8
479,5507,109.7
480,5485,109
481,5388,107.5
482,5135,102.7
483,4871,97.5
484,4673,93.2
485,4627,91.8
486,4775,94.6
487,4916,97.4
488,5070,100.5
489,5212,103.3
490,5337,105.8
491,5456,108.3
492,5571,110.6
493,5699,113.1
494,5633,112.5
495,5445,108.6
496,5216,104.7
497,5110,101.9
498,4947,98.8
499,4815,96
500,4716,93.7
501,4552,90.7
502,4410,87.6
503,4412,87.5
504,4429,87.9
505,4450,88.3
506,4462,88.6
507,4478,88.8
508,4422,87.8
509,4437,88
510,4545,90
511,4686,92.8
512,4804,95.1
513,4928,97.6
514,5043,100
515,5164,102.4
516,5270,104.5
517,5362,106.4
518,5266,105
519,5076,101.2
520,4844,96.7
521,4822,95.8
522,4873,96.8
523,4928,97.9
524,4874,97
525,4829,96
526,4826,95.9
527,4859,96.4
528,4880,96.9
529,4885,97
530,4901,97.3
531,4924,97.7
532,4931,97.9
533,4938,98
534,4930,97.8
535,4891,97
536,4823,95.7
537,4767,94.7
538,4716,93.6
539,4657,92.5
540,4618,91.7
541,4622,91.6
542,4620,91.7
543,4609,91.5
544,4603,91.4
545,4587,91
546,4572,90.8
547,4565,90.5
548,4543,90.2
549,4522,89.8
550,4513,89.5
551,4491,89.1
552,4529,89.4
553,4625,91.5
554,4699,93
555,4734,93.8
556,4809,95.3
557,4883,96.8
558,4947,98
559,4976,98.8
560,5039,99.9
561,5129,101.7
562,5221,103.5
563,5317,105.4
564,5405,107.2
565,5478,108.7
566,5548,110
567,5600,111.1
568,5642,112
569,5383,107.6
570,5138,102.8
571,4915,97.9
572,4666,93
573,4540,90.1
574,4582,90.9
575,4663,92.5
576,4794,95
577,4925,97.5
578,5116,101.5
579,5311,105.3
580,5496,109
581,5668,112.3
582,5789,114.9
583,5896,117.1
584,5971,118.5
585,5989,119
586,5971,118.8
587,5715,114.2
588,5547,110.3
589,5571,110.7
590,5538,110.6
591,5361,107
592,5238,104.3
593,5155,102.7
594,5099,101.5
595,4959,99.1
596,4794,95.8
597,4639,92.5
598,4493,89.6
599,4338,86.5
600,3800,76.4
601,2737,56.5
602,2526,50.3
603,3346,47.4
604,3193,44.8
605,3358,47.1
606,3557,49.9
607,3751,52.6
608,3936,55.4
609,4149,58.2
610,4293,60.6
611,4018,56.8
612,3814,53.9
613,3621,51.2
614,3414,48.2
615,3217,45.5
616,3043,43
617,2871,40.5
618,2716,38.2
619,2543,35.9
620,3468,34
621,3373,29.5
622,3011,26.3
623,2952,25.6
624,3207,28
625,3521,30.7
626,3839,33.5
627,4136,36.1
628,4433,38.8
629,4524,40
630,4027,35.4
631,3580,31.5
632,3194,28.1
633,3155,27.6
634,3448,30.1
635,3764,32.9
636,4000,35.1
637,3611,31.8
638,3219,28.3
639,2793,24.6
640,2406,21.1
641,2071,18.2
642,1780,15.6
643,1134,9.5
